نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي,السعر المربع
فيلا,الرياض, حي المونسية ,جنوبية,6,4,5,0.0,262.0,1,1,1,1,0,1,0,0,1,0,2000000.0,7633.587786259542
فيلا,الرياض, حي النظيم ,جنوبية شرقية,6,2,4,15.0,420.0,1,1,1,1,1,1,0,0,1,0,2300000.0,5476.190476190476
فيلا,الرياض, حي الرمال ,غربية,7,3,5,18.0,300.0,1,1,1,0,0,1,0,0,1,0,1500000.0,5000.0
فيلا,الرياض, الرياض ,جنوبية شرقية,5,3,4,0.0,247.0,1,1,1,0,1,1,0,0,1,1,1500000.0,6072.8744939271255
فيلا,الرياض, الرياض ,جنوبية,0,0,0,0.0,321.0,0,0,0,0,0,0,0,0,0,0,3150000.0,9813.084112149532
فيلا,الرياض, حي الرمال ,شمالية,0,0,0,0.0,281.0,0,0,0,0,0,0,0,0,0,0,1400000.0,4982.20640569395
فيلا,الرياض, حي الخليج ,شرقية,5,1,5,0.0,375.0,0,1,0,0,1,1,0,0,0,0,2200000.0,5866.666666666667
فيلا,الرياض, حي المونسية ,شرقية,5,3,4,0.0,308.0,1,0,1,0,1,1,0,0,1,1,2650000.0,8603.896103896104
فيلا,الرياض, حي الحمراء ,شرقية,7,2,5,0.0,618.0,1,1,1,1,1,1,1,0,1,1,4500000.0,7281.553398058252
فيلا,الرياض, شارع جبل مره ,جنوبية,7,3,5,0.0,450.0,0,1,1,1,0,1,0,0,1,0,2600000.0,5777.777777777777
فيلا,الرياض, شارع جبل مره ,شرقية,5,2,4,0.0,750.0,1,0,1,1,0,1,0,0,1,1,4500000.0,6000.0
فيلا,الرياض, حي الرمال ,جنوبية,0,0,0,0.0,355.0,0,0,0,0,0,0,0,0,0,0,2400000.0,6760.56338028169
فيلا,الرياض, الرياض ,غربية,0,0,0,0.0,363.0,0,0,0,0,0,0,0,0,0,0,1700000.0,4683.195592286502
فيلا,الرياض, حي المونسية ,جنوبية,6,2,4,0.0,319.0,1,1,1,1,1,1,0,0,1,1,3150000.0,9874.60815047022
فيلا,الرياض, الرياض ,شرقية,0,0,0,0.0,495.0,0,0,0,0,0,0,0,0,0,0,3500000.0,7070.707070707071
فيلا,الرياض, حي الشرق ,جنوبية,0,0,0,0.0,320.0,0,0,0,0,0,0,0,0,0,0,1550000.0,4843.75
فيلا,الرياض, حي المونسية ,شمالية,5,5,5,0.0,312.0,1,1,1,0,1,1,0,0,1,1,2300000.0,7371.794871794872
فيلا,الرياض, الرياض ,غربية,0,0,0,0.0,375.0,0,0,0,0,0,0,0,0,0,0,2000000.0,5333.333333333333
فيلا,الرياض, حي المونسية ,جنوبية,5,3,5,18.0,250.0,1,1,1,1,1,1,0,0,1,1,1900000.0,7600.0
فيلا,الرياض, حي السعادة ,جنوبية غربية,0,0,0,0.0,625.0,0,0,0,0,0,0,0,0,0,0,2200000.0,3520.0
فيلا,الرياض, حي الحمراء ,جنوبية,5,2,5,0.0,618.0,1,1,1,1,1,1,0,0,1,1,5700000.0,9223.300970873786
فيلا,الرياض, الرياض ,غربية,5,5,5,0.0,300.0,1,0,1,0,1,1,0,0,1,1,2350000.0,7833.333333333333
فيلا,الرياض, حي المونسية ,جنوبية,7,4,5,0.0,220.0,1,1,1,1,0,1,0,0,1,0,1450000.0,6590.909090909091
فيلا,الرياض, حي المونسية ,غربية,7,2,5,20.0,266.0,1,1,1,0,0,1,0,0,1,0,1480000.0,5563.909774436091
فيلا,الرياض, حي البيان ,شمالية,5,2,4,0.0,363.0,1,1,0,0,1,1,0,0,1,0,1600000.0,4407.713498622589
فيلا,الرياض, حي اشبيلية ,شمالية,0,0,0,0.0,500.0,0,0,0,0,0,0,0,0,0,0,3000000.0,6000.0
فيلا,الرياض, حي الجنادرية ,شرقية,7,2,5,15.0,200.0,1,1,0,0,0,0,0,0,1,0,1050000.0,5250.0
فيلا,الرياض, حي الفيحاء ,شرقية,0,0,0,0.0,480.0,0,0,0,0,0,0,0,0,0,0,2000000.0,4166.666666666667
فيلا,الرياض, حي الرمال ,جنوبية,5,3,5,0.0,300.0,1,1,1,0,1,0,0,0,1,0,1700000.0,5666.666666666667
فيلا,الرياض, حي القادسية ,شرقية,0,0,0,0.0,252.0,0,0,0,0,0,0,0,0,0,0,1590000.0,6309.523809523809
فيلا,الرياض, الرياض ,شرقية,5,2,5,0.0,250.0,1,1,1,0,0,1,0,0,1,0,2050000.0,8200.0
فيلا,الرياض, حي الرمال ,شمالية,3,1,5,0.0,225.0,1,1,0,1,0,1,0,0,1,0,2350000.0,10444.444444444445
فيلا,الرياض, حي الفيحاء ,جنوبية شرقية,7,4,5,0.0,337.0,0,0,0,0,0,1,0,0,1,0,2000000.0,5934.718100890208
فيلا,الرياض, حي القدس ,شمالية,5,5,5,0.0,900.0,1,1,0,0,1,1,1,0,1,0,4700000.0,5222.222222222223
فيلا,الرياض, حي اليرموك ,غربية,5,2,5,0.0,225.0,0,1,0,0,0,1,0,0,0,0,1350000.0,6000.0
فيلا,الرياض, حي الرمال ,جنوبية,7,2,5,15.0,312.0,1,1,1,0,1,1,0,0,1,0,1600000.0,5128.205128205128
فيلا,الرياض, حي الرمال ,غربية,7,3,5,18.0,300.0,1,1,1,0,1,1,0,0,1,0,1600000.0,5333.333333333333
فيلا,الرياض, حي المونسية ,شمالية,7,4,5,0.0,312.0,1,1,1,0,1,1,0,0,1,1,2450000.0,7852.5641025641025
فيلا,الرياض, حي الرمال ,غربية,7,3,5,18.0,300.0,1,1,1,0,0,1,0,0,1,0,1500000.0,5000.0
فيلا,الرياض, حي الخليج ,شرقية,5,1,5,0.0,375.0,0,1,0,0,1,1,0,0,0,0,2200000.0,5866.666666666667
فيلا,الرياض, حي المونسية ,شرقية,5,3,4,0.0,308.0,1,0,1,0,1,1,0,0,1,1,2650000.0,8603.896103896104
فيلا,الرياض, حي المونسية ,غربية,0,0,0,0.0,284.0,0,0,0,0,0,0,0,0,0,0,1400000.0,4929.577464788732
فيلا,الرياض, حي قرطبة ,جنوبية,1,0,3,0.0,360.0,0,1,1,1,0,0,0,0,1,0,2500000.0,6944.444444444444
فيلا,الرياض, حي الرمال ,جنوبية,4,2,5,0.0,338.0,0,1,1,1,1,1,0,0,1,0,1270000.0,3757.396449704142
فيلا,الرياض, شارع جبل مره ,جنوبية,7,3,5,0.0,450.0,0,1,1,1,0,1,0,0,1,0,2600000.0,5777.777777777777
فيلا,الرياض, شارع جبل مره ,شرقية,5,2,4,0.0,750.0,1,0,1,1,0,1,0,0,1,1,4500000.0,6000.0
فيلا,الرياض, حي الرمال ,جنوبية,0,0,0,0.0,355.0,0,0,0,0,0,0,0,0,0,0,2400000.0,6760.56338028169
